num docs: 32033
vocab size: 27
num params: 4192
wrote .\data\train.txt: 1000 docs
wrote .\data\val.txt: 2000 docs
wrote .\data\test.txt: 2000 docs
step    55/ 1000 | loss 2.7366 | avg50 2.8178 |  11.11 steps/s | elapsed   0.08m | eta   1.42m
step    56/ 1000 | loss 2.2113 | avg50 2.8032 |  10.99 steps/s | elapsed   0.08m | eta   1.43m
step    57/ 1000 | loss 2.6736 | avg50 2.7908 |  10.98 steps/s | elapsed   0.09m | eta   1.43m
step    58/ 1000 | loss 2.4947 | avg50 2.7742 |  10.90 steps/s | elapsed   0.09m | eta   1.44m
step    59/ 1000 | loss 2.6330 | avg50 2.7689 |  10.87 steps/s | elapsed   0.09m | eta   1.44m
step    60/ 1000 | loss 2.9024 | avg50 2.7625 |  10.74 steps/s | elapsed   0.09m | eta   1.46m
step    61/ 1000 | loss 2.6594 | avg50 2.7598 |  10.68 steps/s | elapsed   0.10m | eta   1.47m
step    62/ 1000 | loss 2.4527 | avg50 2.7501 |  10.55 steps/s | elapsed   0.10m | eta   1.48m
step    63/ 1000 | loss 2.7178 | avg50 2.7434 |  10.56 steps/s | elapsed   0.10m | eta   1.48m
step    64/ 1000 | loss 2.8619 | avg50 2.7388 |  10.44 steps/s | elapsed   0.10m | eta   1.49m
step    65/ 1000 | loss 2.8474 | avg50 2.7345 |  10.45 steps/s | elapsed   0.10m | eta   1.49m
step    66/ 1000 | loss 2.8673 | avg50 2.7372 |  10.45 steps/s | elapsed   0.11m | eta   1.49m
step    67/ 1000 | loss 2.7473 | avg50 2.7344 |  10.50 steps/s | elapsed   0.11m | eta   1.48m
step    68/ 1000 | loss 2.5459 | avg50 2.7274 |  10.42 steps/s | elapsed   0.11m | eta   1.49m
step    69/ 1000 | loss 2.5597 | avg50 2.7244 |  10.38 steps/s | elapsed   0.11m | eta   1.50m
step    70/ 1000 | loss 2.8365 | avg50 2.7263 |  10.25 steps/s | elapsed   0.11m | eta   1.51m
step    71/ 1000 | loss 3.4163 | avg50 2.7202 |  10.23 steps/s | elapsed   0.12m | eta   1.51m
step    72/ 1000 | loss 2.5205 | avg50 2.7145 |  10.20 steps/s | elapsed   0.12m | eta   1.52m
step    73/ 1000 | loss 2.5853 | avg50 2.7097 |  10.23 steps/s | elapsed   0.12m | eta   1.51m
step    74/ 1000 | loss 2.4236 | avg50 2.7175 |  10.10 steps/s | elapsed   0.12m | eta   1.53m
step    75/ 1000 | loss 2.4053 | avg50 2.6982 |  10.06 steps/s | elapsed   0.12m | eta   1.53m
step    76/ 1000 | loss 2.7836 | avg50 2.6955 |  10.00 steps/s | elapsed   0.13m | eta   1.54m
step    77/ 1000 | loss 2.8438 | avg50 2.6868 |   9.90 steps/s | elapsed   0.13m | eta   1.55m
step    78/ 1000 | loss 3.0302 | avg50 2.6890 |   9.90 steps/s | elapsed   0.13m | eta   1.55m
step    79/ 1000 | loss 2.3869 | avg50 2.6907 |   9.91 steps/s | elapsed   0.13m | eta   1.55m
step    80/ 1000 | loss 2.3910 | avg50 2.6932 |   9.80 steps/s | elapsed   0.14m | eta   1.57m
step    81/ 1000 | loss 2.3688 | avg50 2.6826 |   9.77 steps/s | elapsed   0.14m | eta   1.57m
step    82/ 1000 | loss 3.1079 | avg50 2.6857 |   9.82 steps/s | elapsed   0.14m | eta   1.56m
step    83/ 1000 | loss 2.5942 | avg50 2.6839 |   9.81 steps/s | elapsed   0.14m | eta   1.56m
step    84/ 1000 | loss 2.1857 | avg50 2.6839 |   9.89 steps/s | elapsed   0.14m | eta   1.54m
step    85/ 1000 | loss 2.1898 | avg50 2.6654 |   9.92 steps/s | elapsed   0.14m | eta   1.54m
step    86/ 1000 | loss 2.4624 | avg50 2.6601 |   9.93 steps/s | elapsed   0.14m | eta   1.53m
step    87/ 1000 | loss 2.9832 | avg50 2.6699 |   9.97 steps/s | elapsed   0.15m | eta   1.53m
step    88/ 1000 | loss 2.7304 | avg50 2.6650 |   9.99 steps/s | elapsed   0.15m | eta   1.52m
step    89/ 1000 | loss 2.6506 | avg50 2.6721 |  10.05 steps/s | elapsed   0.15m | eta   1.51m
step    90/ 1000 | loss 2.5744 | avg50 2.6664 |  10.11 steps/s | elapsed   0.15m | eta   1.50m
step    91/ 1000 | loss 2.5922 | avg50 2.6721 |  10.12 steps/s | elapsed   0.15m | eta   1.50m
step    92/ 1000 | loss 3.1646 | avg50 2.6842 |  10.16 steps/s | elapsed   0.15m | eta   1.49m
step    93/ 1000 | loss 2.9175 | avg50 2.6845 |  10.22 steps/s | elapsed   0.15m | eta   1.48m
step    94/ 1000 | loss 2.9945 | avg50 2.6954 |  10.25 steps/s | elapsed   0.15m | eta   1.47m
step    95/ 1000 | loss 2.3016 | avg50 2.6984 |  10.31 steps/s | elapsed   0.15m | eta   1.46m
step    96/ 1000 | loss 2.4319 | avg50 2.6858 |  10.32 steps/s | elapsed   0.16m | eta   1.46m
step    97/ 1000 | loss 2.0333 | avg50 2.6753 |  10.36 steps/s | elapsed   0.16m | eta   1.45m
step    98/ 1000 | loss 3.3962 | avg50 2.6829 |  10.35 steps/s | elapsed   0.16m | eta   1.45m
step    99/ 1000 | loss 2.2613 | avg50 2.6743 |  10.37 steps/s | elapsed   0.16m | eta   1.45m
step   100/ 1000 | loss 3.3669 | avg50 2.6936 |  10.40 steps/s | elapsed   0.16m | eta   1.44m
step   101/ 1000 | loss 2.4483 | avg50 2.6689 |  10.40 steps/s | elapsed   0.16m | eta   1.44m
step   102/ 1000 | loss 2.2889 | avg50 2.6567 |  10.44 steps/s | elapsed   0.16m | eta   1.43m
step   103/ 1000 | loss 2.7991 | avg50 2.6520 |  10.47 steps/s | elapsed   0.16m | eta   1.43m
step   104/ 1000 | loss 2.6872 | avg50 2.6613 |  10.51 steps/s | elapsed   0.16m | eta   1.42m
step   105/ 1000 | loss 2.6311 | avg50 2.6592 |  10.53 steps/s | elapsed   0.17m | eta   1.42m
step   106/ 1000 | loss 2.4243 | avg50 2.6634 |  10.55 steps/s | elapsed   0.17m | eta   1.41m
step   107/ 1000 | loss 2.8984 | avg50 2.6679 |  10.59 steps/s | elapsed   0.17m | eta   1.41m
step   108/ 1000 | loss 2.2613 | avg50 2.6633 |  10.59 steps/s | elapsed   0.17m | eta   1.40m
step   109/ 1000 | loss 2.2090 | avg50 2.6548 |  10.62 steps/s | elapsed   0.17m | eta   1.40m
step   110/ 1000 | loss 2.5113 | avg50 2.6470 |  10.65 steps/s | elapsed   0.17m | eta   1.39m
step   111/ 1000 | loss 2.6165 | avg50 2.6461 |  10.68 steps/s | elapsed   0.17m | eta   1.39m
step   112/ 1000 | loss 2.6483 | avg50 2.6500 |  10.69 steps/s | elapsed   0.17m | eta   1.38m
step   113/ 1000 | loss 2.6772 | avg50 2.6492 |  10.73 steps/s | elapsed   0.18m | eta   1.38m
step   114/ 1000 | loss 2.2588 | avg50 2.6371 |  10.76 steps/s | elapsed   0.18m | eta   1.37m
step   115/ 1000 | loss 2.2152 | avg50 2.6245 |  10.80 steps/s | elapsed   0.18m | eta   1.37m
step   116/ 1000 | loss 2.8152 | avg50 2.6235 |  10.80 steps/s | elapsed   0.18m | eta   1.36m
step   117/ 1000 | loss 2.6372 | avg50 2.6213 |  10.79 steps/s | elapsed   0.18m | eta   1.36m
step   118/ 1000 | loss 2.0875 | avg50 2.6121 |  10.85 steps/s | elapsed   0.18m | eta   1.36m
step   119/ 1000 | loss 2.5167 | avg50 2.6112 |  10.89 steps/s | elapsed   0.18m | eta   1.35m
step   120/ 1000 | loss 2.6920 | avg50 2.6083 |  10.86 steps/s | elapsed   0.18m | eta   1.35m
step   121/ 1000 | loss 2.3495 | avg50 2.5870 |  10.89 steps/s | elapsed   0.19m | eta   1.35m
step   122/ 1000 | loss 2.2998 | avg50 2.5826 |  10.92 steps/s | elapsed   0.19m | eta   1.34m
step   123/ 1000 | loss 2.7507 | avg50 2.5859 |  10.95 steps/s | elapsed   0.19m | eta   1.34m
step   124/ 1000 | loss 2.5124 | avg50 2.5877 |  10.97 steps/s | elapsed   0.19m | eta   1.33m
step   125/ 1000 | loss 3.0075 | avg50 2.5997 |  11.00 steps/s | elapsed   0.19m | eta   1.33m
step   126/ 1000 | loss 2.2402 | avg50 2.5889 |  11.03 steps/s | elapsed   0.19m | eta   1.32m
step   127/ 1000 | loss 2.6489 | avg50 2.5850 |  11.05 steps/s | elapsed   0.19m | eta   1.32m
step   128/ 1000 | loss 2.2248 | avg50 2.5689 |  11.07 steps/s | elapsed   0.19m | eta   1.31m
step   129/ 1000 | loss 2.1412 | avg50 2.5639 |  11.08 steps/s | elapsed   0.19m | eta   1.31m
step   130/ 1000 | loss 3.0851 | avg50 2.5778 |  11.09 steps/s | elapsed   0.20m | eta   1.31m
step   131/ 1000 | loss 2.8208 | avg50 2.5869 |  11.11 steps/s | elapsed   0.20m | eta   1.30m
step   132/ 1000 | loss 2.0810 | avg50 2.5663 |  11.11 steps/s | elapsed   0.20m | eta   1.30m
step   133/ 1000 | loss 2.8060 | avg50 2.5706 |  11.13 steps/s | elapsed   0.20m | eta   1.30m
step   134/ 1000 | loss 2.7096 | avg50 2.5810 |  11.13 steps/s | elapsed   0.20m | eta   1.30m
step   135/ 1000 | loss 2.6401 | avg50 2.5900 |  11.15 steps/s | elapsed   0.20m | eta   1.29m
step   136/ 1000 | loss 3.1040 | avg50 2.6029 |  11.14 steps/s | elapsed   0.20m | eta   1.29m
step   137/ 1000 | loss 2.1829 | avg50 2.5869 |  11.17 steps/s | elapsed   0.20m | eta   1.29m
step   138/ 1000 | loss 2.2031 | avg50 2.5763 |  11.17 steps/s | elapsed   0.21m | eta   1.29m
step   139/ 1000 | loss 2.7783 | avg50 2.5789 |  11.20 steps/s | elapsed   0.21m | eta   1.28m
step   140/ 1000 | loss 2.5121 | avg50 2.5776 |  11.21 steps/s | elapsed   0.21m | eta   1.28m
step   141/ 1000 | loss 3.2092 | avg50 2.5900 |  11.23 steps/s | elapsed   0.21m | eta   1.28m
step   142/ 1000 | loss 2.3187 | avg50 2.5731 |  11.23 steps/s | elapsed   0.21m | eta   1.27m
step   143/ 1000 | loss 3.1077 | avg50 2.5769 |  11.25 steps/s | elapsed   0.21m | eta   1.27m
step   144/ 1000 | loss 2.2708 | avg50 2.5624 |  11.22 steps/s | elapsed   0.21m | eta   1.27m
step   145/ 1000 | loss 2.6134 | avg50 2.5686 |  11.22 steps/s | elapsed   0.22m | eta   1.27m
step   146/ 1000 | loss 2.5703 | avg50 2.5714 |  11.25 steps/s | elapsed   0.22m | eta   1.26m
step   147/ 1000 | loss 2.2524 | avg50 2.5758 |  11.29 steps/s | elapsed   0.22m | eta   1.26m
step   148/ 1000 | loss 2.3684 | avg50 2.5552 |  11.27 steps/s | elapsed   0.22m | eta   1.26m
step   149/ 1000 | loss 2.1724 | avg50 2.5534 |  11.29 steps/s | elapsed   0.22m | eta   1.26m
step   150/ 1000 | loss 2.5351 | avg50 2.5368 |  11.28 steps/s | elapsed   0.22m | eta   1.26m
step   151/ 1000 | loss 2.9063 | avg50 2.5460 |  11.28 steps/s | elapsed   0.22m | eta   1.25m
step   152/ 1000 | loss 2.4862 | avg50 2.5499 |  11.29 steps/s | elapsed   0.22m | eta   1.25m
step   153/ 1000 | loss 2.8622 | avg50 2.5512 |  11.33 steps/s | elapsed   0.23m | eta   1.25m
step   154/ 1000 | loss 3.1861 | avg50 2.5611 |  11.37 steps/s | elapsed   0.23m | eta   1.24m
step   155/ 1000 | loss 2.5595 | avg50 2.5597 |  11.34 steps/s | elapsed   0.23m | eta   1.24m
step   156/ 1000 | loss 2.8595 | avg50 2.5684 |  11.32 steps/s | elapsed   0.23m | eta   1.24m
step   157/ 1000 | loss 3.2600 | avg50 2.5757 |  11.36 steps/s | elapsed   0.23m | eta   1.24m
step   158/ 1000 | loss 2.0037 | avg50 2.5705 |  11.35 steps/s | elapsed   0.23m | eta   1.24m
step   159/ 1000 | loss 3.3867 | avg50 2.5941 |  11.38 steps/s | elapsed   0.23m | eta   1.23m
step   160/ 1000 | loss 2.1104 | avg50 2.5860 |  11.39 steps/s | elapsed   0.23m | eta   1.23m
step   161/ 1000 | loss 2.2022 | avg50 2.5777 |  11.42 steps/s | elapsed   0.24m | eta   1.22m
step   162/ 1000 | loss 2.6278 | avg50 2.5773 |  11.42 steps/s | elapsed   0.24m | eta   1.22m
step   163/ 1000 | loss 2.5539 | avg50 2.5749 |  11.40 steps/s | elapsed   0.24m | eta   1.22m
step   164/ 1000 | loss 2.4285 | avg50 2.5783 |  11.40 steps/s | elapsed   0.24m | eta   1.22m
step   165/ 1000 | loss 2.3338 | avg50 2.5806 |  11.41 steps/s | elapsed   0.24m | eta   1.22m
step   166/ 1000 | loss 2.6923 | avg50 2.5782 |  11.42 steps/s | elapsed   0.24m | eta   1.22m
step   167/ 1000 | loss 2.1427 | avg50 2.5683 |  11.44 steps/s | elapsed   0.24m | eta   1.21m
step   168/ 1000 | loss 2.5276 | avg50 2.5771 |  11.45 steps/s | elapsed   0.24m | eta   1.21m
step   169/ 1000 | loss 3.1430 | avg50 2.5896 |  11.44 steps/s | elapsed   0.25m | eta   1.21m
step   170/ 1000 | loss 2.5338 | avg50 2.5865 |  11.47 steps/s | elapsed   0.25m | eta   1.21m
step   171/ 1000 | loss 2.6454 | avg50 2.5924 |  11.49 steps/s | elapsed   0.25m | eta   1.20m
step   172/ 1000 | loss 2.3900 | avg50 2.5942 |  11.49 steps/s | elapsed   0.25m | eta   1.20m
step   173/ 1000 | loss 2.2324 | avg50 2.5838 |  11.51 steps/s | elapsed   0.25m | eta   1.20m
step   174/ 1000 | loss 3.0033 | avg50 2.5936 |  11.53 steps/s | elapsed   0.25m | eta   1.19m
step   175/ 1000 | loss 2.6798 | avg50 2.5871 |  11.52 steps/s | elapsed   0.25m | eta   1.19m
step   176/ 1000 | loss 2.5880 | avg50 2.5940 |  11.51 steps/s | elapsed   0.25m | eta   1.19m
step   177/ 1000 | loss 3.1046 | avg50 2.6031 |  11.52 steps/s | elapsed   0.26m | eta   1.19m
step   178/ 1000 | loss 2.3841 | avg50 2.6063 |  11.50 steps/s | elapsed   0.26m | eta   1.19m
step   179/ 1000 | loss 1.9982 | avg50 2.6035 |  11.50 steps/s | elapsed   0.26m | eta   1.19m
step   180/ 1000 | loss 2.3556 | avg50 2.5889 |  11.53 steps/s | elapsed   0.26m | eta   1.19m
step   181/ 1000 | loss 2.1472 | avg50 2.5754 |  11.52 steps/s | elapsed   0.26m | eta   1.18m
step   182/ 1000 | loss 2.0537 | avg50 2.5749 |  11.54 steps/s | elapsed   0.26m | eta   1.18m
step   183/ 1000 | loss 1.9403 | avg50 2.5575 |  11.56 steps/s | elapsed   0.26m | eta   1.18m
step   184/ 1000 | loss 3.3390 | avg50 2.5701 |  11.60 steps/s | elapsed   0.26m | eta   1.17m
step   185/ 1000 | loss 2.1482 | avg50 2.5603 |  11.61 steps/s | elapsed   0.27m | eta   1.17m
step   186/ 1000 | loss 2.4919 | avg50 2.5481 |  11.61 steps/s | elapsed   0.27m | eta   1.17m
step   187/ 1000 | loss 2.4610 | avg50 2.5536 |  11.64 steps/s | elapsed   0.27m | eta   1.16m
step   188/ 1000 | loss 2.4055 | avg50 2.5577 |  11.63 steps/s | elapsed   0.27m | eta   1.16m
step   189/ 1000 | loss 1.9792 | avg50 2.5417 |  11.65 steps/s | elapsed   0.27m | eta   1.16m
step   190/ 1000 | loss 2.6377 | avg50 2.5442 |  11.65 steps/s | elapsed   0.27m | eta   1.16m
step   191/ 1000 | loss 1.7000 | avg50 2.5140 |  11.64 steps/s | elapsed   0.27m | eta   1.16m
step   192/ 1000 | loss 2.4035 | avg50 2.5157 |  11.64 steps/s | elapsed   0.27m | eta   1.16m
step   193/ 1000 | loss 2.2961 | avg50 2.4995 |  11.65 steps/s | elapsed   0.28m | eta   1.15m
step   194/ 1000 | loss 2.8886 | avg50 2.5118 |  11.65 steps/s | elapsed   0.28m | eta   1.15m
step   195/ 1000 | loss 2.8026 | avg50 2.5156 |  11.63 steps/s | elapsed   0.28m | eta   1.15m
step   196/ 1000 | loss 2.4264 | avg50 2.5127 |  11.65 steps/s | elapsed   0.28m | eta   1.15m
step   197/ 1000 | loss 2.3991 | avg50 2.5157 |  11.64 steps/s | elapsed   0.28m | eta   1.15m
step   198/ 1000 | loss 3.0697 | avg50 2.5297 |  11.65 steps/s | elapsed   0.28m | eta   1.15m
step   199/ 1000 | loss 2.5300 | avg50 2.5368 |  11.66 steps/s | elapsed   0.28m | eta   1.15m
step   200/ 1000 | loss 2.3097 | avg50 2.5323 |  11.65 steps/s | elapsed   0.29m | eta   1.14m
step   201/ 1000 | loss 2.4874 | avg50 2.5240 |  11.64 steps/s | elapsed   0.29m | eta   1.14m
step   202/ 1000 | loss 2.5649 | avg50 2.5255 |  11.67 steps/s | elapsed   0.29m | eta   1.14m
step   203/ 1000 | loss 2.1233 | avg50 2.5108 |  11.69 steps/s | elapsed   0.29m | eta   1.14m
step   204/ 1000 | loss 1.8898 | avg50 2.4848 |  11.67 steps/s | elapsed   0.29m | eta   1.14m
step   205/ 1000 | loss 2.6302 | avg50 2.4862 |  11.64 steps/s | elapsed   0.29m | eta   1.14m
step   206/ 1000 | loss 3.1559 | avg50 2.4922 |  11.67 steps/s | elapsed   0.29m | eta   1.13m
step   207/ 1000 | loss 2.8998 | avg50 2.4850 |  11.69 steps/s | elapsed   0.30m | eta   1.13m
step   208/ 1000 | loss 2.1443 | avg50 2.4878 |  11.66 steps/s | elapsed   0.30m | eta   1.13m
step   209/ 1000 | loss 2.2206 | avg50 2.4645 |  11.68 steps/s | elapsed   0.30m | eta   1.13m
step   210/ 1000 | loss 2.5670 | avg50 2.4736 |  11.69 steps/s | elapsed   0.30m | eta   1.13m
step   211/ 1000 | loss 2.0186 | avg50 2.4699 |  11.70 steps/s | elapsed   0.30m | eta   1.12m
step   212/ 1000 | loss 2.3012 | avg50 2.4634 |  11.69 steps/s | elapsed   0.30m | eta   1.12m
step   213/ 1000 | loss 3.8427 | avg50 2.4892 |  11.73 steps/s | elapsed   0.30m | eta   1.12m
step   214/ 1000 | loss 2.2129 | avg50 2.4848 |  11.72 steps/s | elapsed   0.30m | eta   1.12m
step   215/ 1000 | loss 2.4124 | avg50 2.4864 |  11.73 steps/s | elapsed   0.31m | eta   1.12m
step   216/ 1000 | loss 2.5136 | avg50 2.4828 |  11.74 steps/s | elapsed   0.31m | eta   1.11m
step   217/ 1000 | loss 2.3378 | avg50 2.4867 |  11.76 steps/s | elapsed   0.31m | eta   1.11m
step   218/ 1000 | loss 2.5365 | avg50 2.4869 |  11.76 steps/s | elapsed   0.31m | eta   1.11m
step   219/ 1000 | loss 2.3739 | avg50 2.4715 |  11.78 steps/s | elapsed   0.31m | eta   1.11m
step   220/ 1000 | loss 2.4205 | avg50 2.4693 |  11.78 steps/s | elapsed   0.31m | eta   1.10m
step   221/ 1000 | loss 3.0695 | avg50 2.4778 |  11.81 steps/s | elapsed   0.31m | eta   1.10m
step   222/ 1000 | loss 2.3135 | avg50 2.4762 |  11.81 steps/s | elapsed   0.31m | eta   1.10m
step   223/ 1000 | loss 2.1625 | avg50 2.4748 |  11.82 steps/s | elapsed   0.31m | eta   1.10m
step   224/ 1000 | loss 2.3273 | avg50 2.4613 |  11.84 steps/s | elapsed   0.32m | eta   1.09m
step   225/ 1000 | loss 2.2527 | avg50 2.4528 |  11.85 steps/s | elapsed   0.32m | eta   1.09m
step   226/ 1000 | loss 2.4193 | avg50 2.4494 |  11.85 steps/s | elapsed   0.32m | eta   1.09m
step   227/ 1000 | loss 2.4528 | avg50 2.4364 |  11.86 steps/s | elapsed   0.32m | eta   1.09m
step   228/ 1000 | loss 2.5524 | avg50 2.4397 |  11.86 steps/s | elapsed   0.32m | eta   1.09m
step   229/ 1000 | loss 3.0859 | avg50 2.4615 |  11.89 steps/s | elapsed   0.32m | eta   1.08m
step   230/ 1000 | loss 1.7900 | avg50 2.4502 |  11.89 steps/s | elapsed   0.32m | eta   1.08m
step   231/ 1000 | loss 3.1017 | avg50 2.4693 |  11.87 steps/s | elapsed   0.32m | eta   1.08m
step   232/ 1000 | loss 2.4001 | avg50 2.4762 |  11.88 steps/s | elapsed   0.33m | eta   1.08m
step   233/ 1000 | loss 2.3035 | avg50 2.4834 |  11.90 steps/s | elapsed   0.33m | eta   1.07m
step   234/ 1000 | loss 2.7662 | avg50 2.4720 |  11.90 steps/s | elapsed   0.33m | eta   1.07m
step   235/ 1000 | loss 2.0570 | avg50 2.4702 |  11.91 steps/s | elapsed   0.33m | eta   1.07m
step   236/ 1000 | loss 2.7383 | avg50 2.4751 |  11.93 steps/s | elapsed   0.33m | eta   1.07m
step   237/ 1000 | loss 2.2569 | avg50 2.4710 |  11.94 steps/s | elapsed   0.33m | eta   1.07m
step   238/ 1000 | loss 2.6960 | avg50 2.4768 |  11.95 steps/s | elapsed   0.33m | eta   1.06m
step   239/ 1000 | loss 2.4001 | avg50 2.4852 |  11.96 steps/s | elapsed   0.33m | eta   1.06m
step   240/ 1000 | loss 3.6365 | avg50 2.5052 |  11.97 steps/s | elapsed   0.33m | eta   1.06m
step   241/ 1000 | loss 2.8041 | avg50 2.5273 |  11.96 steps/s | elapsed   0.34m | eta   1.06m
step   242/ 1000 | loss 2.5392 | avg50 2.5300 |  11.97 steps/s | elapsed   0.34m | eta   1.06m
